Hechos_Id,Año,Mes,Dia,Día Semana,Franja Horaria,Estación_Id
2019-0092,2019,Noviembre,3,Domingo,10,4
2019-0093,2019,Noviembre,13,Miércoles,11,4
2019-0094,2019,Noviembre,18,Lunes,14,4
2019-0095,2019,Noviembre,20,Miércoles,15,4
2019-0096,2019,Noviembre,22,Viernes,19,4
2019-0097,2019,Noviembre,25,Lunes,8,4
2019-0098,2019,Noviembre,25,Lunes,14,4
2019-0100,2019,Diciembre,5,Jueves,17,1
2019-0101,2019,Diciembre,17,Martes,4,1
2019-0102,2019,Diciembre,17,Martes,14,1
2019-0103,2019,Diciembre,18,Miércoles,9,1
2019-0104,2019,Diciembre,21,Sábado,4,1
2019-0105,2019,Mayo,5,Domingo,11,2
2020-0001,2020,Enero,4,Sábado,10,1
2020-0002,2020,Enero,5,Domingo,20,1
2020-0003,2020,Enero,11,Sábado,6,1
2020-0004,2020,Enero,14,Martes,21,1
2020-0005,2020,Enero,14,Martes,6,1
2020-0006,2020,Enero,20,Lunes,12,1
2020-0007,2020,Enero,27,Lunes,0,1
2020-0008,2020,Enero,30,Jueves,7,1
2020-0009,2020,Febrero,4,Martes,14,1
2020-0010,2020,Febrero,8,Sábado,5,1
2020-0011,2020,Febrero,12,Miércoles,11,1
2020-0012,2020,Febrero,18,Martes,21,1
2020-0013,2020,Febrero,20,Jueves,12,1
