Hechos_Id,Rol,Sexo,Edad,Rango Etario
2018-0091,PASAJERO_ACOMPAÑANTE,FEMENINO,23,19-25
2018-0092,CONDUCTOR,MASCULINO,23,19-25
2018-0093,PEATON,MASCULINO,24,19-25
2018-0094,CONDUCTOR,MASCULINO,32,26-40
2018-0095,PASAJERO_ACOMPAÑANTE,FEMENINO,49,41-60
2018-0096,PEATON,MASCULINO,39,26-40
2018-0097,CONDUCTOR,FEMENINO,35,26-40
2018-0098,CONDUCTOR,MASCULINO,55,41-60
2018-0098,PASAJERO_ACOMPAÑANTE,MASCULINO,54,41-60
2018-0099,PEATON,MASCULINO,18,19-25
2018-0100,CONDUCTOR,FEMENINO,33,26-40
2018-0101,CONDUCTOR,MASCULINO,63,61+
2018-0102,CONDUCTOR,MASCULINO,20,19-25
2018-0103,PEATON,MASCULINO,1,0-18
2018-0104,CONDUCTOR,MASCULINO,22,19-25
2018-0105,PEATON,FEMENINO,56,41-60
2018-0106,CONDUCTOR,MASCULINO,27,26-40
2018-0107,PEATON,FEMENINO,62,61+
2018-0108,CONDUCTOR,MASCULINO,37,26-40
2018-0109,PEATON,MASCULINO,34,26-40
2018-0110,PEATON,MASCULINO,60,61+
2018-0111,CONDUCTOR,MASCULINO,28,26-40
2018-0112,CONDUCTOR,FEMENINO,28,26-40
2018-0113,CONDUCTOR,MASCULINO,20,19-25
2018-0114,CONDUCTOR,MASCULINO,23,19-25
2018-0115,PEATON,MASCULINO,42,41-60
2018-0116,PEATON,MASCULINO,48,41-60
2018-0117,CONDUCTOR,MASCULINO,30,26-40
2018-0118,PEATON,FEMENINO,80,61+
2018-0119,PEATON,FEMENINO,32,26-40
2018-0120,PEATON,FEMENINO,51,41-60
2018-0121,PEATON,FEMENINO,72,61+
2018-0122,CONDUCTOR,MASCULINO,33,26-40
2018-0123,CONDUCTOR,MASCULINO,25,26-40
2018-0124,CONDUCTOR,MASCULINO,44,41-60
2018-0125,PEATON,MASCULINO,29,26-40
2018-0126,CONDUCTOR,MASCULINO,27,26-40
2018-0127,CONDUCTOR,MASCULINO,29,26-40
2018-0128,PASAJERO_ACOMPAÑANTE,MASCULINO,49,41-60
2018-0128,PASAJERO_ACOMPAÑANTE,FEMENINO,39,26-40
2018-0129,CONDUCTOR,MASCULINO,37,26-40
2018-0130,CONDUCTOR,MASCULINO,48,41-60
2018-0131,CONDUCTOR,MASCULINO,29,26-40
2018-0132,PEATON,MASCULINO,70,61+
2018-0133,PEATON,FEMENINO,60,61+
2018-0134,PEATON,MASCULINO,56,41-60
2018-0135,PEATON,MASCULINO,80,61+
2018-0136,PEATON,FEMENINO,70,61+
2018-0137,PASAJERO_ACOMPAÑANTE,MASCULINO,29,26-40
2018-0138,PASAJERO_ACOMPAÑANTE,FEMENINO,79,61+
2018-0139,PASAJERO_ACOMPAÑANTE,MASCULINO,28,26-40
2018-0140,CONDUCTOR,MASCULINO,78,61+
